,Simplified,Date,Pinyin_x,Meaning,HSK_x,Traditional,English,Example Pinyin,Character Phrase,Example Explanation
173,移民,2022 6 10,yímín,migrant,5,移民,immigrant,wǒ xiǎng ná yī fèn shēnqǐng yímín qiānzhèng de biǎogé,,也就是说，我想要一张移民签证表。
174,土地,2022 6 10,tǔdì,land,5,土地,land (property),wǒ de tǔdì yǔ nǐ de tǔdì jiē jiè,,也就是说，我的土地与你的接壤。
175,发展,2022 6 10,fāzhǎn,develop,4,發展,"to develop, to promote",shōurù hé jiānglái de fāzhǎn nǎge gèng zhòngyào,,"Which is more important, income or future development?"
176,往往,2022 6 8,wǎngwǎng,often,4,往往,"often, usually",niǎolèi de dòuzhēng wǎngwǎng bǐjiào hépíng,,也就是说，在鸟类中，比赛往往是一种更和平的性质。
177,具备,2022 6 8,jùbèi,have,5,具備,"to have, to possess",nǐ yǒu méiyǒu zuò zhèzhǒng gōngzuò bìxū jùbèi de nàixīn,,也就是问，你对这项工作有必要的耐心吗？
178,讲究,2022 6 8,jiǎngjīu,Extension,5,講究,"to be particular about, to stress; exquisite",nǐ bùgāi duì chuānzhuó zhème jiǎngjiu,,也就是说，你不应该对自己的穿着如此挑剔。
179,长辈,2022 6 8,chángbèi,elder,5,長輩,senior member of a family,wǒmen zūnjìng zhǎngbèi,,也就是说，我们尊重长辈。
180,动作,2022 6 1,dòngzuò,action,4,動作,"action, movement",wǒ juéde chōuyān zhège dòngzuò kànqǐlái hěn shuài,,也就是说，我觉得抽烟的样子很帅。
181,米,2022 6 1,mǐ,Meter,3,米,meter,,,
182,米,2022 6 1,mǐ,Meter,3,米,metre,wǒ néng tiào 6 mǐ duō,,也就是说，我能跳6米以上。
183,弱,2022 6 1,ruò,weak,5,弱,weak,tā niánjì hěn lǎo yīn'ér shēntǐ hěn ruò,,也就是说，他很老，因此很虚弱。
184,天生,2022 6 1,tiānshēng,Born,6,天生,"nature, disposition, innate, natural",niǎo tiānshēng jiù huì fēi,,也就是说，鸟生下来就会飞了。
185,部位,2022 6 1,bùwèi,Site,6,部位,"position, place",nǎge bùwèi zuì tòng？,,也就是问，哪个地方最疼？
