,Characters,Cat,Pinyin,Meaning
309,高级的诚实是用更高级的方式表达真相,"Cat 4 (Discussion, my beliefs, expression) ",gāojídechéngshíshìyònggènggāojídefāngshìbiǎodázhēnxiāng,High -level honesty is to express the truth in a more advanced way
310,诚实,"Cat 4 (Discussion, my beliefs, expression) ",chéngshí,honest
311,真相,"Cat 4 (Discussion, my beliefs, expression) ",zhēnxiāng,the truth
312,谎话,"Cat 4 (Discussion, my beliefs, expression) ",huǎnghuà,lie
313,责备,"Cat 4 (Discussion, my beliefs, expression) ",zébèi,blame
314,污渍,"Cat 4 (Discussion, my beliefs, expression) ",wūzì,Stain
315,经济困难的人,"Cat 4 (Discussion, my beliefs, expression) ",jīngjìkùnnánderén, Working class (poor) (Polticically Correct)
316,积极,"Cat 4 (Discussion, my beliefs, expression) ",jījí,positive
317,分辨,"Cat 4 (Discussion, my beliefs, expression) ",fēnbiàn,Distinguish (decern)
318,追求精神的,"Cat 4 (Discussion, my beliefs, expression) ",zhūiqíujīngshénde,Spiritual seeker
319,辩护,"Cat 4 (Discussion, my beliefs, expression) ",biànhù,defend
320,严格,"Cat 4 (Discussion, my beliefs, expression) ",yángé,strict
321,我担心他们,"Cat 4 (Discussion, my beliefs, expression) ",wǒdànxīntāmen,I worry about them
322,我不相信他们,"Cat 4 (Discussion, my beliefs, expression) ",wǒbùxiāngxìntāmen,I don't believe them
323,我对他们没有信心,"Cat 4 (Discussion, my beliefs, expression) ",wǒdùitāmenméiyǒuxìnxīn,I have no confidence in them
324,利息,"Cat 4 (Discussion, my beliefs, expression) ",lìxī,Interest
325,利率,"Cat 4 (Discussion, my beliefs, expression) ",lìlv̀,interest rate
326,骗局,"Cat 4 (Discussion, my beliefs, expression) ",piànjú,scam
327,通货膨胀通胀,"Cat 4 (Discussion, my beliefs, expression) ",tōnghuòpéngzhàngtōngzhàng,Inflation and inflation
328,稳定,"Cat 4 (Discussion, my beliefs, expression) ",wěndìng,Stablize
329,汇率,"Cat 4 (Discussion, my beliefs, expression) ",hùilv̀,exchange rate
330,原则,"Cat 4 (Discussion, my beliefs, expression) ",yuánzé,in principle
331,遵守,"Cat 4 (Discussion, my beliefs, expression) ",zūnshǒu,obey
332,成百上千,"Cat 4 (Discussion, my beliefs, expression) ",chéngbǎishàngqiān,Thousands of thousands
333,原料,"Cat 4 (Discussion, my beliefs, expression) ",yuánliào,raw material
334,对外贸易逆差,"Cat 4 (Discussion, my beliefs, expression) ",dùiwàimàoyìnìchà,Foreign trade deficit
335,体验很差,"Cat 4 (Discussion, my beliefs, expression) ",tǐyànhěnchà,Poor experience
336,继续,"Cat 4 (Discussion, my beliefs, expression) ",jìxù,continue
337,风险,"Cat 4 (Discussion, my beliefs, expression) ",fēngxiǎn,risk
338,放心,"Cat 4 (Discussion, my beliefs, expression) ",fàngxīn,rest assured
339,普及,"Cat 4 (Discussion, my beliefs, expression) ",pǔjí,universal
340,过去,"Cat 4 (Discussion, my beliefs, expression) ",guòqù,past
341,群体免疫,"Cat 4 (Discussion, my beliefs, expression) ",qúntǐmiǎnyì,Group immunity
342,结束,"Cat 4 (Discussion, my beliefs, expression) ",jiéshù,Finish
343,慢热,"Cat 4 (Discussion, my beliefs, expression) ",mànrè,Slow heat
344,有趣的,"Cat 4 (Discussion, my beliefs, expression) ",yǒuqùde,interesting
345,军队,"Cat 4 (Discussion, my beliefs, expression) ",jūndùi,army
346,笑点,"Cat 4 (Discussion, my beliefs, expression) ",xiàodiǎn,Humor
347,笑话,"Cat 4 (Discussion, my beliefs, expression) ",xiàohuà,joke
348,理由,"Cat 4 (Discussion, my beliefs, expression) ",lǐyóu,reason
349,锅边素,"Cat 4 (Discussion, my beliefs, expression) ",guōbiānsù,Pista
350,效果,"Cat 4 (Discussion, my beliefs, expression) ",xiàoguǒ,Effect
351,执照,"Cat 4 (Discussion, my beliefs, expression) ",zhízhào,license
352,从我小的时候开始,"Cat 4 (Discussion, my beliefs, expression) ",cóngwǒxiǎodeshíhòukāishǐ,Starting from my childhood
353,整天,"Cat 4 (Discussion, my beliefs, expression) ",zhěngtiān,All day
354,过于兴奋,"Cat 4 (Discussion, my beliefs, expression) ",guòyúxīngfèn,Too excited
355,你做过的最调皮的事是什么,"Cat 4 (Discussion, my beliefs, expression) ",nǐzuòguòdezùidiàopídeshìshìshíyāo,What are the most naughty things you have done
